timestamp,path,aliases,reference
1334489179,libavcodec/indeo4.c,,CVE-2012-2791
1334489179,libavcodec/ivi_common.c,,CVE-2012-2791
1334489179,libavcodec/ivi_common.h,,CVE-2012-2791
1334494760,libavcodec/indeo5.c,,CVE-2012-2794
1334494760,libavcodec/ivi_common.c,,CVE-2012-2800
1334514037,libavcodec/alsdec.c,,CVE-2012-2790
1334525829,libavformat/mov.c,libav/mov.c,CVE-2016-3062
1334827016,libavcodec/vc1dec.c,,CVE-2012-2796
1334936538,libavcodec/avs.c,,CVE-2012-2801
1334937153,libavcodec/ac3dec.c,,CVE-2012-2802
1334938409,libavcodec/indeo3.c,,CVE-2012-2804
1335117833,libavcodec/mpeg12.c,,CVE-2012-2803
1336077619,libavcodec/vqavideo.c,,CVE-2012-0947
1340300977,libavcodec/smacker.c,,CVE-2017-16803
1347905846,libavcodec/alsdec.c,,CVE-2012-2775
1347905847,libavcodec/alsdec.c,,CVE-2012-2790
1348903564,libavcodec/cavsdec.c,,CVE-2012-2777
1348903564,libavcodec/cavsdec.c,,CVE-2012-2784
1348903590,libavcodec/indeo5.c,,CVE-2012-2779
1348903590,libavcodec/ivi_common.c,,CVE-2012-2779
1348903590,libavcodec/ivi_common.h,,CVE-2012-2779
1348903628,libavcodec/dfa.c,,CVE-2012-2786
1348903652,libavcodec/ivi_common.c,,CVE-2012-2787
1348903679,libavformat/avidec.c,libav/avidec.c,CVE-2012-2788
1348903695,libavcodec/wmaprodec.c,,CVE-2012-2789
1348903712,libavcodec/lagarith.c,,CVE-2012-2793
1348938724,libavcodec/indeo3.c,,CVE-2012-2776
1348938756,libavcodec/indeo5.c,,CVE-2012-2794
1348938825,libavcodec/ivi_common.c,,CVE-2012-2800
1348939027,libavcodec/dfa.c,,CVE-2012-2798
1348939087,libavcodec/avs.c,,CVE-2012-2801
1349064659,libavcodec/ac3dec.c,,CVE-2012-2802
1352459668,libavcodec/tiff.c,,CVE-2013-0859
1352463980,libavcodec/atrac3.c,,CVE-2013-0858
1352491561,libavcodec/iff.c,,CVE-2013-0857
1352564044,libavcodec/alac.c,,CVE-2013-0856
1352565755,libavcodec/alac.c,,CVE-2013-0855
1352593184,libavcodec/mjpegdec.c,,CVE-2013-0854
1352727785,libavcodec/wavpack.c,,CVE-2013-0853
1352994411,libavcodec/pgssubdec.c,,CVE-2013-0852
1353166038,libavcodec/eamad.c,,CVE-2013-0851
1353253649,libavcodec/h264.c,,CVE-2013-0850
1354199070,libavcodec/roqvideodec.c,,CVE-2013-0849
1354200996,libavcodec/huffyuv.c,,CVE-2013-0848
1354227162,libavformat/id3v2.c,,CVE-2013-0847
1354316408,libavcodec/qdm2.c,,CVE-2013-0846
1354646991,libavformat/utils.c,libav/utils.c,CVE-2012-6618
1355092746,ffserver.c,,CVE-2012-6617
1355317967,libavcodec/alsdec.c,,CVE-2013-0845
1355330765,libavcodec/adpcm.c,,CVE-2013-0844
1355428962,libavcodec/h264.c,,CVE-2013-4358
1355428962,libavcodec/h264.h,,CVE-2013-4358
1355428962,libavcodec/h264_ps.c,,CVE-2013-4358
1356847054,libavcodec/ass_split.c,,CVE-2013-0894
1357859528,libavformat/matroskadec.c,,CVE-2012-5150
1357862320,libavcodec/vorbisdec.c,libavcodec/vorbis_dec.c,CVE-2013-0894
1357876009,libavcodec/error_resilience.c,,CVE-2013-0860
1358468978,libavcodec/utils.c,,CVE-2013-0861
1358887196,libavcodec/sanm.c,,CVE-2013-0862
1358983679,libavcodec/sanm.c,,CVE-2013-0863
1359065504,libavcodec/gifdec.c,,CVE-2013-0864
1359090776,libavcodec/vqavideo.c,,CVE-2013-0865
1359315480,libavcodec/aacdec.c,libavcodec/aac.c,CVE-2013-0866
1359409608,libavcodec/vp3.c,,CVE-2013-0870
1359430804,libavcodec/h264.c,,CVE-2013-0867
1359478678,libavcodec/huffyuvdec.c,,CVE-2013-0868
1359483088,libavcodec/huffyuvdec.c,,CVE-2013-0868
1359836005,libavcodec/h264.c,,CVE-2013-0869
1360441286,libavcodec/targa.c,,CVE-2013-0878
1360628157,libavcodec/sanm.c,,CVE-2013-0877
1360631064,libavcodec/sanm.c,,CVE-2013-0876
1360696235,libavcodec/pngdec.c,,CVE-2013-0875
1360709381,libavcodec/tiff.c,,CVE-2013-0874
1360713860,libavcodec/shorten.c,,CVE-2013-0873
1360774224,libswresample/swresample.c,,CVE-2013-0872
1361455329,libavcodec/h264_ps.c,,CVE-2013-2277
1361480474,libavcodec/utils.c,,CVE-2013-2276
1361774039,libavcodec/vorbisdec.c,libavcodec/vorbis_dec.c,CVE-2013-0894
1362443990,libavformat/iff.c,,CVE-2013-2495
1362450544,libavcodec/msrledec.c,,CVE-2013-2496
1367345184,libavutil/log.c,,CVE-2013-3671
1367445065,libavcodec/vmdav.c,,CVE-2013-3670
1367525119,libavcodec/mmvideo.c,,CVE-2013-3672
